Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/5843.jpg,5843,CST-T8-IR-18W-WW,T8 LED Tube Fitting & Sens 18W,WW,120cm,LigAcc:Lam: Others,SHENZHEN CHINST ILLUMINATION CO LTD.,Pcs,7,26,78,"LED Prismatic Surface (PS) Fitting Lordex 18W With Tube Sensor. SMD2835 96LED. Frosted Cover & Aluminum Body. 1200mm T8 Tube CST-T8-IR-18W ( 120cm - 4Feet - 4' ) Warm White Color 3000K 85-265V (1Connector & 3Wall Clip For One Fitting)
 Location = 3/5C01"
img/5844.jpg,5844,BC-P3012BSBM / Screw,Switch 1G 2Way Hanlight,BS & BK,3x3.,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,80,8,24,"1Gang 2Way Switch HANLIGHT British Stand 3x3 with Screw Brushed Steel & haBlack
 Location = G/4H01"
img/5845.jpg,5845,BC-P3022BSBM / Screw,Switch 2G 2Way Hanlight,BS & BK,3x3.,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,60,9,27,"2Gang 2Way Switch HANLIGHT British Stand 3x3 with Screw Brushed Steel & haBlack
 Location = G/4H01"
img/5846.jpg,5846,BC-P3032BSBM / Screw,Switch 3G 2Way Hanlight,BS & BK,3x3.,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,80,11,33,"3Gang 2Way Switch HANLIGHT British Stand 3x3 with Screw Brushed Steel & Black 
 Location = G/4H01"
img/5847.jpg,5847,BC-P3241BSBM / Screw,DP Switch 1G Neon 20A Hanlight,BS & BK,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,73,9,27,"20A 1Gang Double Pole Switch with Neon HANLIGHT British Stand 3x3 with Screw Brushed Steel & Black
 Location = G/1B04"
img/5848.jpg,5848,BC-P3271BSBM / Screw,DP Switch 1G Neon 45A Hanlight,BS & BK,3x3 .,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,80,12,36,"45A 1Gang DP Neon Switch HANLIGHT Double Pole with Screw 3x3 ( Single Plate ) British Stand Brushed Steel & Black
 Location = G/4H01"
img/5849.jpg,5849,BC-P8245BSBM / Screw,Connection Plate 45A Hanlight,BS & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",,289,14,42,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT with Screw 3x3 BRUSHED & STEEL
 Location = G/1B03"
img/5850.jpg,5850,BC-P4191BSBM / Screw,Fused Unit With Neon 13A Hanlig,BS & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,79,10,30,"Fused ( Spare ) 1g switch Unit With Neon HAILER & HANLIGHT 13A with Screw 3x3 BRUSHED STEEL ( 4217 )
 Location = G/1B04"
img/5851.jpg,5851,BC-P3515/11BSBM / Sc,Dimmer SW 1G 1500W Hanlight,BS & BK,3x3,Swi&Soc: Dimmer,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,94,29,87,"1Gang Dimmer Switch 1500w HAILER & HANLIGHT Brushed Steel with Screw 3x3 
 Location = G/1B03"
img/5852.jpg,5852,BC-P4050BSBM / Screw,Single Socket SP 1G 13A Hanligh,BS & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,9,30,"13Amp 1Gang Switched Socket Single Pole HANLIGHT with Screw 3x3 British Stand Brushed Steel & Black
 Location = G/4H01"
